Date (year/month/day),Sep (mas),Sep_err,PA (deg),PA_err,Instrument,Source,Assumed Distance (pc),Distance Source,Wavelength,Method
2012/3/11,89.70,2.60,133.10,1.90,NACO,Biller 2012,145,Verhoeff et al. (2011),"J, H, K, L', M'",SAM
2013/3/17,82.00,2.10,126.30,1.60,NACO,Lacour 2016,140,Mendigutia et al. (2014),"J, H, K, L', M'",SAM
2013/4/11,82.50,1.01,127.98,0.46,VisAO,This work,,,,BKA
2013/7/14,82.50,1.10,123.80,1.20,NACO,Lacour 2016,140,Mendigutia et al. (2014),"J, H, K, L', M'",SAM
2014/4/8,77.73,1.63,117.87,0.96,VisAO,This work,,,Ha,BKA
2014/4/25,88.20,10.10,123.00,9.20,GPI,Rodigas 2014,,,Y,Direct
2014/5/10,78.00,1.80,119.10,1.00,SINFONI,Christiaens 2018,,,"H, K",Direct
2014/5/12,77.20,0.60,116.60,0.50,GPI,Lacour 2016,140,Mendigutia et al. (2014),J,NRM
2015/5/13,69.00,2.00,110.20,0.50,IFS/IRDIS,Claudi 2019,,,"Y, J, H, K1,K2",Direct
2015/5/15,70.16,1.19,110.56,0.80,VisAO,This work,,,Ha,BKA
2015/5/16,72.19,2.02,107.84,0.97,VisAO,This work,,,Ha,BKA
2015/5/18,70.00,1.35,110.12,0.72,VisAO,This work,,,Ha,BKA
2015/7/3,65.50,0.40,106.20,0.40,IFS/IRDIS,Claudi 2019,,,"Y, J, H2, H3",SAM
2016/3/26,60.00,2.00,97.10,0.50,IFS/IRDIS,Claudi 2019,,,"Y, J, H, K1, K2",Direct
2016/3/31,62.80,2.70,98.70,1.80,ZIMPOL,Cugno 2019,,,Ha,Direct
2016/6/13,61.00,2.00,96.30,0.50,IFS/IRDIS,Claudi 2019,,,"Y, J, H",Direct
2017/5/16,48.50,0.50,77.80,0.20,IFS/IRDIS,Claudi 2019,,,"Y, J, H, K1, K2",SAM
2018/4/14,44.00,1.00,55.40,0.40,IFS/IRDIS,Claudi 2019,,,"Y, J, H, K1, K2",SAM
2018/4/27,43.69,2.01,58.28,1.76,VisAO,This work,,,Ha,BKA
